title,scored_by
Fullmetal Alchemist: Brotherhood,733592
Kimi no Na wa.,471398
GintamaÂ°,71751
Steins;Gate 0,26739
Steins;Gate,563857
Ginga Eiyuu Densetsu,29036
Gintama&#039;,92025
Hunter x Hunter (2011),403377
3-gatsu no Lion 2nd Season,30779
Gintama&#039;: Enchousen,63468
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,61010
Koe no Katachi,296261
Owarimonogatari 2nd Season,42842
Gintama.,40441
Clannad: After Story,363239
Gintama,141830
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,157934
Code Geass: Hangyaku no Lelouch R2,543904
Sen to Chihiro no Kamikakushi,498602
Made in Abyss,166905
